Metric,Gemini-1.5 Flash,GPT-3.5 Turbo,Google Translate,Microsoft Translate
Length Ratio,0.9726608322644554,1.029969593011184,1.0178191989439216,1.0131660871416575
BLEU-3,0.2171080373929629,0.22216910961473735,0.2812408286036472,0.24830781809133942
METEOR,0.43929822849160344,0.4507286858464507,0.5194420667131726,0.4753161620677736
F1-Score,0.5390958744874125,0.5482937390025033,0.597173655347445,0.5620905801262265
ROUGE-L,0.4522910614770408,0.4568764027501155,0.5142360285149653,0.48294670313786947
ROUGE-S2,0.2304633979522624,0.2352741636493744,0.29200052265560283,0.26152996383314997
ROUGE-SU,0.3130801385715996,0.31877872150051245,0.373555432142875,0.34184582316404777
Precision,0.560788385077174,0.5554544715871005,0.6041672948434325,0.5736852863826177
Recall,0.5319591513895032,0.5553123072957414,0.6028949272895984,0.5658596888549426
WER,0.7383235366794679,0.7655806815782769,0.6833503082974387,0.7223747223804549
WER-DL,0.7366750970115382,0.7641275368976532,0.6817726408703408,0.7204487212391238
PER,0.5445329495958667,0.5543678852417133,0.4877104876070344,0.5343920006251017
SAP-MMA,0.725925925925926,0.7481481481481481,0.7604938271604939,0.7086419753086419
BERT-F1,0.6619527855405101,0.6647532605830534,0.7809766764994021,0.7542882904594327
BERT-P,0.6922099240768103,0.6922111211367595,0.788190992967582,0.7644862963829512
BERT-R,0.6439967529641257,0.6491249389486549,0.7756219068427145,0.746495599511229
