Metric,Gemini-1.5 Flash,GPT-3.5 Turbo,Google Translate,Microsoft Translate
Length Ratio,0.9559771038929643,1.0840297701776445,1.0178191989439216,1.0131660871416575
BLEU-3,0.20775652851710208,0.19779043385335043,0.2812408286036472,0.24830781809133942
METEOR,0.4326764786525817,0.42258565681135624,0.5194420667131726,0.4753161620677736
F1-Score,0.5371362819864336,0.5198407726056692,0.597173655347445,0.5620905801262265
ROUGE-L,0.44301191608654905,0.43013497702436526,0.5142360285149653,0.48294670313786947
ROUGE-S2,0.2236177908967609,0.20996290087193378,0.29200052265560283,0.26152996383314997
ROUGE-SU,0.30762148250655935,0.2927178158564588,0.373555432142875,0.34184582316404777
Precision,0.5628753063082125,0.5271012481109005,0.6041672948434325,0.5736852863826177
Recall,0.5260066671823123,0.527476629328847,0.6028949272895984,0.5658596888549426
WER,0.7453249620397089,0.8479351511368161,0.6833503082974387,0.7223747223804549
WER-DL,0.7437271737828541,0.8470151515898751,0.6817726408703408,0.7204487212391238
PER,0.5416313703958294,0.6389236192205991,0.4877104876070344,0.5343920006251017
SAP-MMA,0.7111111111111111,0.7234567901234568,0.7604938271604939,0.7086419753086419
BERT-F1,0.6600580141500191,0.6505176620350943,0.7809766764994021,0.7542882903122607
BERT-P,0.6923687976083638,0.6739151314084912,0.7881909926732381,0.7644862962357792
BERT-R,0.6405352112687664,0.638821996435707,0.7756219066955425,0.746495599511229
