Metric,Gemini-1.5 Flash,GPT-3.5 Turbo,Google Translate,Microsoft Translate
Length Ratio,0.9627726946991279,1.0276810467598874,1.0178191989439216,1.0131660871416575
BLEU-3,0.22711807884101806,0.23356365518172592,0.2812408286036472,0.24830781809133942
METEOR,0.44819440206353695,0.4633651797591762,0.5194420667131726,0.4753161620677736
F1-Score,0.5536528404268773,0.5572572421896714,0.597173655347445,0.5620905801262265
ROUGE-L,0.46514703608402974,0.4641673996596344,0.5142360285149653,0.48294670313786947
ROUGE-S2,0.24318357702695453,0.24633246941868467,0.29200052265560283,0.26152996383314997
ROUGE-SU,0.3263202438888961,0.3293066176584653,0.373555432142875,0.34184582316404777
Precision,0.5783240189696519,0.5648903638624689,0.6041672948434325,0.5736852863826177
Recall,0.5432331780775593,0.5637163106454666,0.6028949272895984,0.5658596888549426
WER,0.7245140008485509,0.7519816906615595,0.6833503082974387,0.7223747223804549
WER-DL,0.7229084113426145,0.7506619664215534,0.6817726408703408,0.7204487212391238
PER,0.5256482308370041,0.5461270277650006,0.4877104876070344,0.5343920006251017
SAP-MMA,0.7037037037037037,0.7481481481481481,0.7604938271604939,0.7086419753086419
BERT-F1,0.6666919834083981,0.6693939749473407,0.7809766764994021,0.7542882903122607
BERT-P,0.6966625886198915,0.6986567595122773,0.78819099282041,0.7644862963829512
BERT-R,0.6482956457653163,0.6530091144052552,0.7756219064011985,0.746495599511229
